Title,Body,Labels
Meaning of inter_op_parallelism_threads and intra_op_parallelism_threads,"<p>Can somebody please explain the following TensorFlow terms</p>

<ol>
<li><p><code>inter_op_parallelism_threads</code></p></li>
<li><p><code>intra_op_parallelism_threads</code></p></li>
</ol>

<p>or, please, provide links to the right source of explanation. </p>

<p>I have conducted a few tests by changing the parameters, but the results have not been consistent to arrive at a conclusion.</p>
",
Can inception model be used for object counting in an image?,"<p>I have already gone through the image classification part in Inception model, but I require to count the objects in the image. </p>

<p>Considering the flowers data-set, one image can have multiple instances of a flower, so how can I get that count?</p>
",Choosing a model: Lack of knowledge
How to compile Tensorflow with SSE4.2 and AVX instructions?,"<p>This is the message received from running a script to check if Tensorflow is working:</p>

<pre><code>I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:95] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:95] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
</code></pre>

<p>I noticed that it has mentioned SSE4.2 and AVX,</p>

<p>1) What are SSE4.2 and AVX?</p>

<p>2) How do these SSE4.2 and AVX improve CPU computations for Tensorflow tasks.</p>

<p>3) How to make Tensorflow compile using the two libraries?</p>
",Related to library: Lack of knowledge
Tensorflow mean squared error loss function,"<p>I have seen a few different mean squared error loss functions in various posts for regression models in Tensorflow:</p>

<pre><code>loss = tf.reduce_sum(tf.pow(prediction - Y,2))/(n_instances)
loss = tf.reduce_mean(tf.squared_difference(prediction, Y))
loss = tf.nn.l2_loss(prediction - Y)
</code></pre>

<p>What are the differences between these?</p>
",
What is the meaning of the word logits in TensorFlow?,"<p>In the following TensorFlow function, we must feed the activation of artificial neurons in the final layer. That I understand. But I don't understand why it is called logits? Isn't that a mathematical function? </p>

<pre><code>loss_function = tf.nn.softmax_cross_entropy_with_logits(
     logits = last_layer,
     labels = target_output
)
</code></pre>
",Related to library: Lack of knowledge
How to print the value of a Tensor object in TensorFlow?,"<p>I have been using the introductory example of matrix multiplication in TensorFlow.</p>

<pre><code>matrix1 = tf.constant([[3., 3.]])
matrix2 = tf.constant([[2.],[2.]])
product = tf.matmul(matrix1, matrix2)
</code></pre>

<p>When I print the product, it is displaying it as a <code>Tensor</code> object:</p>

<pre><code>&lt;tensorflow.python.framework.ops.Tensor object at 0x10470fcd0&gt;
</code></pre>

<p>But how do I know the value of <code>product</code>?</p>

<p>The following doesn't help:</p>

<pre><code>print product
Tensor(""MatMul:0"", shape=TensorShape([Dimension(1), Dimension(1)]), dtype=float32)
</code></pre>

<p>I know that graphs run on <code>Sessions</code>, but isn't there any way I can check the output of a <code>Tensor</code> object without running the graph in a <code>session</code>?</p>
",Related to library: Lack of knowledge
How to install tensorboard,"<p>Maybe this is a stupid question, but how do I install tensorboard. 
The <a href=""http://tensorflow.org/how_tos/summaries_and_tensorboard/index.md"" rel=""nofollow noreferrer"">documentation</a> says ""If you have pip installed tensorboard"".</p>
",
TensorFlow on 32-bit Linux?,"<p>Is there a version of TensorFlow for 32-bit Linux?  I only see the 64-bit wheel available, and didn't find anything about it on the site.</p>
",
How do I start tensorflow docker jupyter notebook,"<p>I've installed the tensorflow docker container on an ubuntu machine.  The tensorflow docker <a href=""http://www.tensorflow.org/get_started/os_setup.md"" rel=""noreferrer"">setup instructions</a> specify:</p>

<pre><code>docker run -it b.gcr.io/tensorflow/tensorflow
</code></pre>

<p>This puts me into the docker container terminal, and I can run python and execute the Hello World example.  I can also manually run .\run_jupyter.sh to start the jupyter notebook. However, I can't reach the notebook from host.</p>

<p>How do I start the jupyter notebook such that I can use the notebook from the host machine? Ideally I would like to use docker to launch the container and start jupyter in a single command.</p>
",Related to library: Lack of knowledge
TensorFlow - best way to implement weight constraints,"<p>Suppose we have weights</p>

<pre><code>x = tf.Variable(np.random.random((5,10)))
cost = ...
</code></pre>

<p>And we use the GD optimizer:</p>

<pre><code>upds = tf.train.GradientDescentOptimizer(lr).minimize(cost)
session.run(upds)
</code></pre>

<p>How can we implement for example non-negativity on weights?</p>

<p>I tried clipping them:</p>

<pre><code>upds = tf.train.GradientDescentOptimizer(lr).minimize(cost)
session.run(upds)
session.run(tf.assign(x, tf.clip_by_value(x, 0, np.infty)))
</code></pre>

<p>But this slows down my training by a factor of 50.</p>

<p>Does anybody know a good way to implement such constraints on the weights in TensorFlow?</p>

<p>P.S.: in the equivalent Theano algorithm, I had</p>

<pre><code>T.clip(x, 0, np.infty)
</code></pre>

<p>and it ran smoothly.</p>
",Choosing a model: Lack of knowledge
