Title,Body
"Recommendation Engines for Java applications","<p>I was wondering if there is any open source recommendation engine available? It should suggest something like Amazon and Netflix. I have heard of a framework called <a href=""http://mahout.apache.org/"" rel=""nofollow noreferrer"">Apache Mahout - Taste</a>. I am trying it next week. It would be great if you can share your valuable thoughts.</p>
"
"mahout lucene document clustering howto?","<p>I'm reading that i can create mahout vectors from a lucene index that can be used to apply the mahout clustering algorithms.
<a href=""http://cwiki.apache.org/confluence/display/MAHOUT/Creating+Vectors+from+Text"" rel=""nofollow noreferrer"">http://cwiki.apache.org/confluence/display/MAHOUT/Creating+Vectors+from+Text</a></p>

<p>I would like to apply K-means clustering algorithm in the documents in my Lucene index, but it is not clear how can i apply this algorithm (or hierarchical clustering) to extract meaningful clusters with these documents.</p>

<p>In this page <a href=""http://cwiki.apache.org/confluence/display/MAHOUT/k-Means"" rel=""nofollow noreferrer"">http://cwiki.apache.org/confluence/display/MAHOUT/k-Means</a>
says that the algorithm accepts two input directories: one for the data points and one for the initial clusters. My data points are the documents? How can i ""declare"" that these are my documents (or their vectors) , simply take them and do the clustering?</p>

<p>sorry in advance for my poor grammar</p>

<p>Thank you</p>
"
"Mahout Plugin for ruby on rails","<p>I want to use Apache Mahout in my project on Ruby on Rails for implementing recommendations and collaborative filtering. In Particular my requirements are:</p>

<ol>
<li>suggesting related tags.</li>
<li>suggesting related articles.</li>
<li>based on user's preferences prompt him for review of articles.</li>
<li>based on geographical location, and other meta information of a user, suggest him similar users.</li>
</ol>

<p>I am open to using any other solution (other than mahout) if it integrates with rails easily and fulfills my requirements. </p>
"
"How to acquire or generate test data for a recommender system","<p>I'm currently researching recommender systems and would like to know how other researchers acquire or generate test data to evaluate the systems' performance? </p>
"
"What's difference between Collaborative Filtering Item-based recommendation and Content-based recommendation","<p>I am puzzled about what the item-based recommendation is in 《mahout in action》.There is the algorithm in the book:</p>

<pre><code>for every item i that u has no preference for yet
  for every item j that u has a preference for
    compute a similarity s between i and j
    add u's preference for j, weighted by s, to a running average
return the top items, ranked by weighted average
</code></pre>

<p>what can I calculate the similarity between items? If using the content, isn't it content-based recommendation ? </p>
"
"Using machine learning to de-duplicate data","<p>I have the following problem and was thinking I could use machine learning but I'm not completely certain it will work for my use case.</p>

<p>I have a data set of around a hundred million records containing customer data including names, addresses, emails, phones, etc and would like to find a way to clean this customer data and identify possible duplicates in the data set. </p>

<p>Most of the data has been manually entered using an external system with no validation so a lot of our customers have ended up with more than one profile in our DB, sometimes with different data in each record. </p>

<p>For Instance We might have 5 different entries for a customer John Doe, each with different contact details.</p>

<p>We also have the case where multiple records that represent different customers match on key fields like email. For instance when a customer doesn't have an email address but the data entry system requires it our consultants will use a random email address, resulting in many different customer profiles using the same email address, same applies for phones, addresses etc.</p>

<p>All of our data is indexed in Elasticsearch and stored in a SQL Server Database. My first thought was to use Mahout as a machine learning platform (since this is a Java shop) and maybe use H-base to store our data (just because it fits with the Hadoop Ecosystem, not sure if it will be of any real value), but the more I read about it the more confused I am as to how it would work in my case, for starters I'm not sure what kind of algorithm I could use since I'm not sure where this problem falls into, can I use a Clustering algorithm or a Classification algorithm? and of course certain rules will have to be used as to what constitutes a profile's uniqueness, i.e what fields.</p>

<p>The idea is to have this deployed initially as a Customer Profile de-duplicator service of sorts that our data entry systems can use to validate and detect possible duplicates when entering a new customer profile and in the future perhaps develop this into an analytics platform to gather insight about our customers.</p>

<p>Any feedback will be greatly appreciated :)</p>

<p>Thanks.</p>
"
"Large scale machine learning - Python or Java?","<p>I am currently embarking on a project that will involve crawling and processing huge amounts of data (hundreds of gigs), and also mining them for extracting structured data, named entity recognition, deduplication, classification etc. </p>

<p>I'm familiar with ML tools from both Java and the Python world: Lingpipe, Mahout, NLTK, etc. However, when it comes down to picking a platform for such a large scale problem - I lack sufficient experience to decide between Java or Python.</p>

<p>I know this sounds like a vague question, and but I am looking for general advice on picking either Java or Python. The JVM offers better performance(?) over Python, but are libraries like Lingpipe etc. match up with the Python ecosystem? If I went this Python, how easy would it be scaling it and managing it across multiple machines etc.</p>

<p>Which one should I go with and why?</p>
"
"Is it worth purchasing Mahout in Action to get up to speed with Mahout, or are there other better sources?","<p>I'm currently a very casual user of <a href=""http://mahout.apache.org/"" rel=""nofollow noreferrer"">Apache Mahout</a>, and I'm considering purchasing the book <a href=""http://www.manning.com/owen/"" rel=""nofollow noreferrer"">Mahout in Action</a>. Unfortunately, I'm having a really hard time getting an idea of how worth it this book is -- and seeing as it's a <a href=""http://www.manning.com/about/meap.html"" rel=""nofollow noreferrer"">Manning Early Access Program</a> book (and therefore only currently available as a beta-version e-book), I can't take a look myself in a bookstore.</p>

<p>Can anyone recommend this as a good (or less good) guide to getting up to speed with Mahout, and/or other sources that can supplement the Mahout website?</p>
"
"Java's Mahout equivalent in Python","<p><strong><a href=""http://mahout.apache.org/"" rel=""nofollow"">Java based Mahout's</a></strong> goal is to build scalable machine learning libraries. Are there any equivalent libraries in Python ?</p>
"
"is it possible to use apache mahout without hadoop dependency?","<p>Is it possible to use Apache mahout without any dependency to Hadoop.</p>

<p>I would like to use the mahout algorithm on a single computer by only including the mahout library inside my Java project but i dont want to use hadoop at all since i will be running on a single node anyway. </p>

<p>Is that possible?</p>
"
