Title,Body
"Dealing with unbalanced datasets in Spark MLlib","<p>I'm working on a particular binary classification problem with a highly unbalanced dataset, and I was wondering if anyone has tried to implement specific techniques for dealing with unbalanced datasets (such as <a href=""https://www.jair.org/media/953/live-953-2037-jair.pdf"" rel=""noreferrer"">SMOTE</a>) in classification problems using Spark's MLlib.</p>

<p>I'm using MLLib's Random Forest implementation and already tried the simplest approach of randomly undersampling the larger class but it didn't work as well as I expected.</p>

<p>I would appreciate any feedback regarding your experience with similar issues.</p>

<p>Thanks,</p>
"
"Matrix Multiplication in Apache Spark","<p>I am trying to perform matrix multiplication using Apache Spark and Java.</p>

<p>I have 2 main questions:</p>

<ol>
<li>How to create RDD that can represent matrix in Apache Spark?  </li>
<li>How to multiply two such RDDs?</li>
</ol>
"
"Spark MLlib LDA, how to infer the topics distribution of a new unseen document?","<p>i am interested in applying LDA topic modelling using Spark MLlib. I have checked the code and the explanations in <a href=""http://spark.apache.org/docs/latest/mllib-clustering.html#latent-dirichlet-allocation-lda"" rel=""noreferrer"">here</a> but I couldn't find how to use the model then to find the topic distribution in a new unseen document.</p>
"
"How to save models from ML Pipeline to S3 or HDFS?","<p>I am trying to save thousands of models produced by ML Pipeline. As indicated in the answer <a href=""https://stackoverflow.com/questions/32121046/run-3000-random-forest-models-by-group-using-spark-mllib-scala-api"">here</a>, the models can be saved as follows:</p>

<pre><code>import java.io._

def saveModel(name: String, model: PipelineModel) = {
  val oos = new ObjectOutputStream(new FileOutputStream(s""/some/path/$name""))
  oos.writeObject(model)
  oos.close
}

schools.zip(bySchoolArrayModels).foreach{
  case (name, model) =&gt; saveModel(name, Model)
}
</code></pre>

<p>I have tried using <code>s3://some/path/$name</code> and <code>/user/hadoop/some/path/$name</code> as I would like the models to be saved to amazon s3 eventually but they both fail with messages indicating the path cannot be found.</p>

<p>How to save models to Amazon S3?</p>
"
"Save ML model for future usage","<p>I was applying some Machine Learning algorithms like Linear Regression, Logistic Regression, and Naive Bayes to some data, but I was trying to avoid using RDDs and start using DataFrames because the <a href=""https://ogirardot.wordpress.com/2015/05/29/rdds-are-the-new-bytecode-of-apache-spark/"">RDDs are slower</a> than Dataframes under pyspark  (see pic 1).</p>

<p><img src=""https://ogirardot.files.wordpress.com/2015/05/unified-physical-execution.png""></p>

<p>The other reason why I am using DataFrames is because the ml library has a class very useful to tune models which is <a href=""http://spark.apache.org/docs/latest/api/python/pyspark.ml.html?highlight=crossvalidator#pyspark.ml.tuning.CrossValidator"">CrossValidator</a> this class returns a model after fitting it, obviously this method has to test several scenarios, and after that returns a <a href=""http://spark.apache.org/docs/latest/api/python/pyspark.ml.html?highlight=model#pyspark.ml.Model"">fitted model</a> (with the best combinations of parameters).</p>

<p>The cluster I use isn't so large and the data is pretty big and some fitting take hours so I want to save this models to reuse them later, but I haven't realized how, is there something I am ignoring?</p>

<p>Notes:</p>

<ul>
<li>The mllib's model classes have a save method (i.e. <a href=""http://spark.apache.org/docs/latest/api/python/pyspark.mllib.html?highlight=mllib#pyspark.mllib.classification.NaiveBayesModel.save"">NaiveBayes</a>), but mllib does not have CrossValidator and use RDDs so I am avoiding it premeditatedly.</li>
<li>The current version is spark 1.5.1. </li>
</ul>
"
"How to serve a Spark MLlib model?","<p>I'm evaluating tools for production ML based applications and one of our options is Spark MLlib , but I have some questions about how to serve a model once its trained? </p>

<p>For example in Azure ML, once trained, the model is exposed as a web service which can be consumed from any application, and it's a similar case with Amazon ML.</p>

<p>How do you serve/deploy ML models in Apache Spark ?</p>
"
"How to prepare data into a LibSVM format from DataFrame?","<p>I want to make libsvm format, so I made dataframe to the desired format, but I do not know how to convert to libsvm format. The format is as shown in the figure. I hope that the desired libsvm type is <strong>user item:rating</strong> . If you know what to do in the current situation :</p>

<pre><code>val ratings = sc.textFile(new File(""/user/ubuntu/kang/0829/rawRatings.csv"").toString).map { line =&gt;
     val fields = line.split("","")
      (fields(0).toInt,fields(1).toInt,fields(2).toDouble)
}
val user = ratings.map{ case (user,product,rate) =&gt; (user,(product.toInt,rate.toDouble))}
val usergroup = user.groupByKey 

val data =usergroup.map{ case(x,iter) =&gt; (x,iter.map(_._1).toArray,iter.map(_._2).toArray)}

val data_DF = data.toDF(""user"",""item"",""rating"")
</code></pre>

<p><img src=""https://i.stack.imgur.com/RsZaJ.jpg"" alt=""DATAFRAME FIGURE""></p>
"
"How to cross validate RandomForest model?","<p>I want to evaluate a random forest being trained on some data. Is there any utility in Apache Spark to do the same or do I have to perform cross validation manually?</p>
"
"How to handle categorical features with spark-ml?","<p><em>How do I handle categorical data with</em> <code>spark-ml</code> <em>and not</em> <code>spark-mllib</code> ?</p>

<p>Thought the documentation is not very clear, it seems that classifiers e.g. <code>RandomForestClassifier</code>, <code>LogisticRegression</code>, have a <code>featuresCol</code> argument, which specifies the name of the column of features in the <code>DataFrame</code>, and a <code>labelCol</code> argument, which specifies the name of the column of labeled classes in the <code>DataFrame</code>.</p>

<p>Obviously I want to use more than one feature in my prediction, so I tried using the <code>VectorAssembler</code> to put all my features in a single vector under <code>featuresCol</code>. </p>

<p>However, the <code>VectorAssembler</code> only accepts numeric types, boolean type, and vector type (according to the Spark website), so I can't put strings in my features vector.</p>

<p>How should I proceed? </p>
"
"Out-of-core processing of sparse CSR arrays","<p>How can one apply some function in parallel on chunks of a sparse CSR array saved on disk using Python? Sequentially this could be done e.g. by saving the CSR array with <code>joblib.dump</code> opening it with <code>joblib.load(.., mmap_mode=""r"")</code> and processing the chunks of rows one by one.  Could this be done more efficiently with <a href=""https://dask.pydata.org/en/latest/"" rel=""noreferrer"">dask</a>? </p>

<p>In particular, assuming one doesn't need all the possible out of core operations on sparse arrays, but just the ability to load row chunks in parallel (each chunk is a CSR array) and apply some function to them (in my case it would be e.g. <code>estimator.predict(X)</code> from scikit-learn). </p>

<p>Besides, is there a file format on disk that would be suitable for this task?  joblib works but I'm not sure about the (parallel) performance of CSR arrays loaded as  memory maps; spark.mllib appears to use either some custom sparse storage format (that doesn't seem to have a pure Python parser) or LIBSVM format (the parser in scikit-learn is, in my experience, much slower than <code>joblib.dump</code>)...</p>

<p>Note: I have read <a href=""http://dask.pydata.org/en/latest/array-sparse.html"" rel=""noreferrer"">http://dask.pydata.org/en/latest/array-sparse.html</a> , <a href=""https://github.com/dask/dask/search?q=sparse&amp;type=Issues&amp;utf8=%E2%9C%93"" rel=""noreferrer"">various issues about it on https://github.com/dask/dask/</a> but  I'm still not sure how to best approach this problem.</p>

<p><strong>Edit:</strong> to give a more practical example, below is the code that works in dask for dense arrays but fails when using sparse arrays with <a href=""https://pastebin.com/5dy36fQd"" rel=""noreferrer"">this error</a>,</p>

<pre><code>import numpy as np
import scipy.sparse

import joblib
import dask.array as da
from sklearn.utils import gen_batches

np.random.seed(42)
joblib.dump(np.random.rand(100000, 1000), 'X_dense.pkl')
joblib.dump(scipy.sparse.random(10000, 1000000, format='csr'), 'X_csr.pkl')

fh = joblib.load('X_dense.pkl', mmap_mode='r')

# computing the results without dask
results = np.vstack((fh[sl, :].sum(axis=1)) for sl in gen_batches(fh.shape[0], batch_size))

# computing the results with dask
x = da.from_array(fh, chunks=(2000))
results = x.sum(axis=1).compute()
</code></pre>

<p><strong>Edit2:</strong> following the discussion below, the example below overcomes the previous error but gets ones about <code>IndexError: tuple index out of range</code> in <code>dask/array/core.py:L3413</code>,</p>

<pre><code>import dask
# +imports from the example above
dask.set_options(get=dask.get)  # disable multiprocessing

fh = joblib.load('X_csr.pkl', mmap_mode='r')

def func(x):
    if x.ndim == 0:
        # dask does some heuristics with dummy data, if the x is a 0d array
        # the sum command would fail
        return x
    res = np.asarray(x.sum(axis=1, keepdims=True))
    return res

Xd = da.from_array(fh, chunks=(2000))
results_new = Xd.map_blocks(func).compute()
</code></pre>
"
