Title,Body
"Scientific libraries for Lua?","<p>Are there any scientific packages for Lua comparable to Scipy?</p>
"
"How catch ctrl-c in lua when ctrl-c is sent via the command line","<p>I would like to know when the user from a command line presses control-c so I can save some stuff. </p>

<p>How do I do this? I've looked but haven't really seen anything.</p>

<p>Note: I'm somewhat familiar with lua, but I'm no expert. I mostly use lua to use the library Torch (<a href=""http://torch.ch/"">http://torch.ch/</a>)</p>
"
"How view() method works for tensor in torch","<p>I have confusion about the method <code>view()</code> in the following code snippet.</p>

<pre><code>class Net(nn.Module):
    def __init__(self):
        super(Net, self).__init__()
        self.conv1 = nn.Conv2d(3, 6, 5)
        self.pool  = nn.MaxPool2d(2,2)
        self.conv2 = nn.Conv2d(6, 16, 5)
        self.fc1   = nn.Linear(16*5*5, 120)
        self.fc2   = nn.Linear(120, 84)
        self.fc3   = nn.Linear(84, 10)

    def forward(self, x):
        x = self.pool(F.relu(self.conv1(x)))
        x = self.pool(F.relu(self.conv2(x)))
        x = x.view(-1, 16*5*5)
        x = F.relu(self.fc1(x))
        x = F.relu(self.fc2(x))
        x = self.fc3(x)
        return x

net = Net()
</code></pre>

<p>My confusion is regarding the following line.</p>

<pre><code>x = x.view(-1, 16*5*5)
</code></pre>

<p>What does <code>tensor.view()</code> function do? I have seen its usage in many places but I can't understand how it interprets its' parameters. </p>

<p>What happens if I give negative values as parameters to the <code>view()</code> function? For example, what happens if I call, <code>tensor_variable.view(1, 1, -1)</code>?</p>

<p>Can anyone explain the main principle of <code>view()</code> function with some examples?</p>
"
"Model summary in pytorch","<p>Is there any way, I can print the summary of a model in PyTorch like <code>model.summary()</code> method does in Keras as follows?</p>

<pre><code>Model Summary:
____________________________________________________________________________________________________
Layer (type)                     Output Shape          Param #     Connected to                     
====================================================================================================
input_1 (InputLayer)             (None, 1, 15, 27)     0                                            
____________________________________________________________________________________________________
convolution2d_1 (Convolution2D)  (None, 8, 15, 27)     872         input_1[0][0]                    
____________________________________________________________________________________________________
maxpooling2d_1 (MaxPooling2D)    (None, 8, 7, 27)      0           convolution2d_1[0][0]            
____________________________________________________________________________________________________
flatten_1 (Flatten)              (None, 1512)          0           maxpooling2d_1[0][0]             
____________________________________________________________________________________________________
dense_1 (Dense)                  (None, 1)             1513        flatten_1[0][0]                  
====================================================================================================
Total params: 2,385
Trainable params: 2,385
Non-trainable params: 0
</code></pre>
"
"Torch / Lua, how to select a subset of an array or tensor?","<p>I'm working on Torch/Lua and have an array <code>dataset</code> of 10 elements.</p>

<pre><code>dataset = {11,12,13,14,15,16,17,18,19,20}
</code></pre>

<p>If I write <code>dataset[1]</code>, I can read the structure of the 1st element of the array.</p>

<pre><code>th&gt; dataset[1]
11  
</code></pre>

<p>I need to select just 3 elements among all the 10, but I don't know which command to use.
If I were working on Matlab, I would write: <code>dataset[1:3]</code>, but here does not work.</p>

<p>Do you have any suggestions?</p>
"
"Generating new images with PyTorch","<p>I am studying GANs I've completed the one course which gave me an example of a program that generates images based on examples inputed.</p>

<p>The example can be found here:</p>

<pre><code>https://github.com/davidsonmizael/gan
</code></pre>

<p>So I decided to use that to generate new images based on a dataset of frontal photos of faces, but I am not having any success. Differently from the example above, the code only generates noise, while the input has actual images.</p>

<p>Actually I don't have any clue about what should I change to make the code point to the right direction and learn from images. I haven't change a single value on the code provided in the example, yet it does not work.</p>

<p>If anyone can help me understand this and point me to the right direction would be very helpful. Thanks in advance.</p>

<p>My Discriminator:</p>

<pre><code>class D(nn.Module):

    def __init__(self):
        super(D, self).__init__()
        self.main = nn.Sequential(
                nn.Conv2d(3, 64, 4, 2, 1, bias = False),
                nn.LeakyReLU(0.2, inplace = True),
                nn.Conv2d(64, 128, 4, 2, 1, bias = False),
                nn.BatchNorm2d(128),
                nn.LeakyReLU(0.2, inplace = True),
                nn.Conv2d(128, 256, 4, 2, 1, bias = False),
                nn.BatchNorm2d(256),
                nn.LeakyReLU(0.2, inplace = True),
                nn.Conv2d(256, 512, 4, 2, 1, bias = False),
                nn.BatchNorm2d(512),
                nn.LeakyReLU(0.2, inplace = True),
                nn.Conv2d(512, 1, 4, 1, 0, bias = False),
                nn.Sigmoid()
                )

    def forward(self, input):
        return self.main(input).view(-1)
</code></pre>

<p>My Generator:</p>

<pre><code>class G(nn.Module):

    def __init__(self):
        super(G, self).__init__()
        self.main = nn.Sequential(
                nn.ConvTranspose2d(100, 512, 4, 1, 0, bias = False),
                nn.BatchNorm2d(512),
                nn.ReLU(True),
                nn.ConvTranspose2d(512, 256, 4, 2, 1, bias = False),
                nn.BatchNorm2d(256),
                nn.ReLU(True),
                nn.ConvTranspose2d(256, 128, 4, 2, 1, bias = False),
                nn.BatchNorm2d(128),
                nn.ReLU(True),
                nn.ConvTranspose2d(128, 64, 4, 2, 1, bias = False),
                nn.BatchNorm2d(64),
                nn.ReLU(True),
                nn.ConvTranspose2d(64, 3, 4, 2, 1, bias = False),
                nn.Tanh()
                )

    def forward(self, input):
        return self.main(input)
</code></pre>

<p>My function to start the weights:</p>

<pre><code>def weights_init(m):
    classname = m.__class__.__name__
    if classname.find('Conv') != -1:
        m.weight.data.normal_(0.0, 0.02)
    elif classname.find('BatchNorm') != -1:
        m.weight.data.normal_(1.0, 0.02)
        m.bias.data.fill_(0)
</code></pre>

<p>Full code can be seen here:</p>

<pre><code>https://github.com/davidsonmizael/criminal-gan
</code></pre>

<p>Noise generated on epoch number 25:
<a href=""https://i.stack.imgur.com/rJVxb.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/rJVxb.png"" alt=""Noise generated on epoch number 25""></a></p>

<p>Input with real images:
<a href=""https://i.stack.imgur.com/PiV7H.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/PiV7H.png"" alt=""Input with real images.""></a></p>
"
"What is the difference and relation among 'cuda' 'cudnn' 'cunn' and 'cutorch' in torch?","<p>I see many torch codes use:</p>

<pre><code>require cudnn
require cunn
require cutorch
</code></pre>

<p>What are these package used for? What is their relation with Cuda?</p>
"
"PyTorch: How to use DataLoaders for custom Datasets","<p>How to make use of the <code>torch.utils.data.Dataset</code> and <code>torch.utils.data.DataLoader</code> on your own data (not just the <code>torchvision.datasets</code>)?</p>

<p>Is there a way to use the inbuilt <code>DataLoaders</code> which they use on <code>TorchVisionDatasets</code> to be used on any dataset?</p>
"
"How to get past 1gb memory limit of 64 bit LuaJIT on Linux?","<p>The overview is I am prototyping code to understand my problem space, and I am running into 'PANIC: unprotected error in call to Lua API (not enough memory)' errors.  I am looking for ways to get around this limit.</p>

<p>The environment bottom line is Torch, a scientific computing framework that runs on LuaJIT, and LuaJIT runs on Lua.  I need Torch because I eventually want to hammer on my problem with neural nets on a GPU, but to get there I need a good representation of the problem to feed to the nets.  I am (stuck) on Centos Linux, and I suspect that trying to rebuild all the pieces from source in 32bit mode (this is reported to extend the LuaJIT memory limit to 4gb) will be a nightmare if it works at all for all of the libraries.</p>

<p>The problem space itself is probably not particularly relevant, but in overview I have datafiles of points that I calculate distances between and then bin (i.e. make histograms of) these distances to try and work out the most useful ranges.  Conveniently I can create complicated Lua tables with various sets of bins and torch.save() the mess of counts out, then pick it up later and inspect with different normalisations etc. -- so after one month of playing I am finding this to be really easy and powerful.  </p>

<p>I can make it work looking at up to 3 distances with 15 bins each (15x15x15 plus overhead), but this only by adding explicit garbagecollection() calls and using fork()/wait() for each datafile so that the outer loop will keep running if one datafile (of several thousand) still blows the memory limit and crashes the child.  This gets extra painful as each successful child process now has to read, modify and write the current set of bin counts -- and my largest files for this are currently 36mb.  I would like to go larger (more bins), and would really prefer to just hold the counts in the 15 gigs of RAM I can't seem to access.</p>

<p>So, here are some paths I have thought of; please do comment if you can confirm/deny that any of them will/won't get me outside of the 1gb boundary, or will just improve my efficiency within it.  Please do comment if you can suggest another approach that I have not thought of.</p>

<ul>
<li><p>am I missing a way to fire off a Lua process that I can read an arbitrary table back in from?  No doubt I can break my problem into smaller pieces, but parsing a return table from stdio (as from a system call to another Lua script) seems error prone, and writing/reading small intermediate files will be a lot of disk i/o.</p></li>
<li><p>am I missing a stash-and-access-table-in-high-memory module ?  This seems like what I really want, but not found it yet</p></li>
<li><p>can FFI C data structures be put outside the 1gb?  Doesn't seem like that would be the case but certainly I lack a full understanding of what is causing the limit in the first place.  I suspect that this will just get me an efficiency improvement over generic Lua tables for the few pieces that have moved beyond prototyping?  (unless I do a bunch of coding for each change)</p></li>
<li><p>Surely I can get out by writing an extension in C (Torch appears to support nets that should go outside of the limit), but my brief investigation there turns up references to 'lightuserdata' pointers -- does this mean that a more normal extension won't get outside 1gb either?  This also seems like it has the heavy development cost for what should be a prototyping exercise.</p></li>
</ul>

<p>I know C well so going the FFI or extension route doesn't bother me - but I know from experience that encapsulating algorithms in this way can be both really elegant and really painful with two places to hide bugs.  Working through data structures containing tables within tables on the stack doesn't seem great either.  Before I make this effort I would like to be certain that the end result really will solve my problem.</p>

<p>Thanks for reading the long post.</p>
"
"Best way to save a trained model in PyTorch?","<p>I was looking for alternative ways to save a trained model in PyTorch. So far, I have found two alternatives.</p>

<ol>
<li><a href=""https://github.com/torch/torch7/blob/master/doc/serialization.md#torchsavefilename-object--format-referenced"" rel=""noreferrer"">torch.save()</a> to save a model and <a href=""https://github.com/torch/torch7/blob/master/doc/serialization.md#object-torchloadfilename--format-referenced"" rel=""noreferrer"">torch.load()</a> to load a model.</li>
<li><a href=""http://pytorch.org/docs/nn.html#torch.nn.Module.state_dict"" rel=""noreferrer"">model.state_dict()</a> to save a trained model and <a href=""http://pytorch.org/docs/nn.html#torch.nn.Module.load_state_dict"" rel=""noreferrer"">model.load_state_dict()</a> to load the saved model.</li>
</ol>

<p>I have come across to this <a href=""https://discuss.pytorch.org/t/how-to-save-load-torch-models/718"" rel=""noreferrer"">discussion</a> where approach 2 is recommended over approach 1.</p>

<p>My question is, why the second approach is preferred? Is it only because <a href=""http://pytorch.org/docs/nn.html"" rel=""noreferrer"">torch.nn</a> modules have those two function and we are encouraged to use them?</p>
"
