Title,Body,Label
WEKA Tutorials / Examples for a Newbie,"<p>In a <a href=""https://stackoverflow.com/questions/2257304/multi-column-integer-ordering/2267735#2267735"">follow-up to this answer</a> I want to ask if any of you know any good (and more importantly <em>easy to understand</em>) tutorials and / or examples of data mining with the <a href=""http://www.cs.waikato.ac.nz/ml/weka/"" rel=""nofollow noreferrer"">Weka toolkit</a>.</p>

<p>I've been very interested in Data Mining ever since I've first heard of it and the things it can do, I've also have some experiments I'd like to do with some of my data and I've already bought four books and I found specially interesting the following two:</p>

<p><a href=""http://rads.stackoverflow.com/amzn/click/3540430601"" rel=""nofollow noreferrer"">Intelligent Data Analysis http://ecx.images-amazon.com/images/I/41CJNXchMrL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA240_SH20_OU01_.jpg</a>
<a href=""http://rads.stackoverflow.com/amzn/click/0120884070"" rel=""nofollow noreferrer"">Data Mining http://ecx.images-amazon.com/images/I/61DhYb1Z6QL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA240_SH20_OU01_.jpg</a></p>

<p>The last one is written by the same authors of Weka and contains a lot of examples but still, I found it a little hard to understand the logic and specially the math. My math skills are currently very rough, I plan to go to the University this year and hopefully I'll learn and be able to better understand the math involved, but until then I want to gain some practice in Data Mining.</p>

<p>Is there any step-by-step tutorial with example data I can read to get me started with the Weka toolkit?</p>
",Related to library: Lack of knowledge
Text mining with PHP,"<p>I'm doing a project for a college class I'm taking.</p>

<p>I'm using PHP to build a simple web app that classify tweets as ""positive"" (or happy) and ""negative"" (or sad) based on a set of dictionaries. The algorithm I'm thinking of right now is Naive Bayes classifier or decision tree.</p>

<p>However, I can't find any PHP library that helps me do some serious language processing. Python has NLTK (<a href=""http://www.nltk.org"" rel=""nofollow noreferrer"">http://www.nltk.org</a>). Is there anything like that for PHP?</p>

<p>I'm planning to use WEKA as the back end of the web app (by calling Weka in command line from within PHP), but it doesn't seem that efficient.</p>

<p>Do you have any idea what I should use for this project? Or should I just switch to Python?</p>

<p>Thanks</p>
",Related to library: Lack of knowledge
Sentiment analysis with NLTK python for sentences using sample data or webservice?,"<p>I am embarking upon a NLP project for sentiment analysis.</p>

<p>I have successfully installed NLTK for python (seems like a great piece of software for this). However,I am having trouble understanding how it can be used to accomplish my task.</p>

<p>Here is my task:</p>

<ol>
<li>I start with one long piece of data (lets say several hundred tweets on the subject of the UK election from their webservice)</li>
<li>I would like to break this up into sentences (or info no longer than 100 or so chars) (I guess i can just do this in python??)</li>
<li>Then to search through all the sentences for specific instances within that sentence e.g. ""David Cameron""</li>
<li>Then I would like to check for positive/negative sentiment in each sentence and count them accordingly</li>
</ol>

<p>NB: I am not really worried too much about accuracy because my data sets are large and also not worried too much about sarcasm. </p>

<p>Here are the troubles I am having:</p>

<ol>
<li><p>All the data sets I can find e.g. the corpus movie review data that comes with NLTK arent in webservice format. It looks like this has had some processing done already. As far as I can see the processing (by stanford) was done with WEKA. Is it not possible for NLTK to do all this on its own? Here all the data sets have already been organised into positive/negative already e.g. polarity dataset <a href=""http://www.cs.cornell.edu/People/pabo/movie-review-data/"" rel=""noreferrer"">http://www.cs.cornell.edu/People/pabo/movie-review-data/</a> How is this done? (to organise the sentences by sentiment, is it definitely WEKA? or something else?)</p></li>
<li><p>I am not sure I understand why WEKA and NLTK would be used together. Seems like they do much the same thing. If im processing the data with WEKA first to find sentiment why would I need NLTK? Is it possible to explain why this might be necessary?</p></li>
</ol>

<p>I have found a few scripts that get somewhat near this task, but all are using the same pre-processed data. Is it not possible to process this data myself to find sentiment in sentences rather than using the data samples given in the link?</p>

<p>Any help is much appreciated and will save me much hair!</p>

<p>Cheers Ke</p>
",
Increase heap size in java for weka,"<p>I'm trying to increase the heap size in java for weka which keeps crashing.  I used the suggested line:</p>

<pre><code>&gt; java -Xmx500m -classpath
</code></pre>

<p>but I get the following error:</p>

<pre><code>-classpath requires class path specification
</code></pre>

<p>I'm not sure what this means.  Any suggestions?</p>
",Related to library: Bugs
How to add LibSVM class to WEKA classpath on a Mac,"<p>I am running Max OS X 10.7 Lion and I want to use WEKA with LibSVM from command line.  I get this error:</p>

<pre><code>Problem evaluating classifier: libsvm classes not in CLASSPATH!
</code></pre>

<p><img src=""https://i.stack.imgur.com/2t91y.png"" alt=""Error I am receiving in WEKA""></p>

<p>I found the LibSVM library <a href=""http://www.csie.ntu.edu.tw/~cjlin/libsvm/#download"" rel=""nofollow noreferrer"">here</a>. I need to add it to my Java classpath so that WEKA can find it.  The download contains several files, shown below. I don't know how to add them to my classpath for Java.</p>

<p><img src=""https://i.stack.imgur.com/ES3Vm.png"" alt=""Files in LibSVM download that need to be added to classpath""></p>

<p>I am attempting to use the LibSVM classifier in WEKA because it is preferable for me over SMO. I am also unsure if this means the Java classpath or if it is specific to WEKA. I also don't know where to get these classes from. Any help is appreciated.</p>
",Related to library: Installation
"Skip feature when classifying, but show feature in output","<p>I've created a dataset which contains +/- 13000 rows with +/- 50 features. I know how to output every classification result: prediction and actual, but I would like to be able to output some sort of ID with those results. So i've added a ID column to my dataset but I don't know how disregard the ID when classifying while still being able to output the ID with every prediction result. I do know how to select features to output with every prediction.</p>
",Prediction
Web/browser-oriented open source machine learning projects?,"<p>Applying machine learning techniques, more specifically text mining techniques, in browser environment (mainly Javascript) or as a web application is not a very widely discussed topic.</p>

<p>I want to build my own web application / browser extension that can accomplish certain level of text classification / visualization techniques. I would like to know, if there is any open source projects that apply text mining techniques in web application or even better as browser extensions? </p>

<p>So far, these are the projects/discussions I gathered with days of random searching:</p>

<p><strong>For text mining in web application:</strong></p>

<ul>
<li><a href=""http://text-processing.com/"" rel=""nofollow noreferrer"">http://text-processing.com/</a> with <a href=""http://text-processing.com/demo/"" rel=""nofollow noreferrer"">demo</a> (Close source, with limited api)</li>
<li><a href=""http://www.uclassify.com/Default.aspx"" rel=""nofollow noreferrer"">uClassify</a> (close source, no info about library base)<br> </li>
</ul>

<p><strong>For machine learning in Javascript:</strong></p>

<ul>
<li><a href=""http://news.ycombinator.com/item?id=1704648"" rel=""nofollow noreferrer"">Discussion</a> on the possibility about Machine learning in
JavaScript. (mainly about saying Node.js is going to change the landscape)</li>
<li><a href=""http://harthur.github.com/brain/"" rel=""nofollow noreferrer"">brain - javascript supervised machine learning</a></li>
<li>A <a href=""http://www.dusbabek.org/~garyd/bayes/"" rel=""nofollow noreferrer"">demo project</a> with Naive Bayes implemented in Javascript</li>
</ul>

<p>For web application text mining, the architect that I can think of:</p>

<ul>
<li>Python libraries (e.g. NLTK or scikit-learn) + Django</li>
<li>Java libraries (a lot) + Play! framework</li>
<li>Even R based + <a href=""http://rapache.net/"" rel=""nofollow noreferrer"">rApache</a></li>
</ul>
",Related to library: Lack of knowledge
Convert CSV to ARFF using weka,"<p>I've been trying to get this dataset <code>http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized</code> into Weka and no luck at all. I converted it to CSV and then loaded it into Weka and then tried to convert it to ARFF but still giving me the error <code>""attribute names are not unique""</code>. </p>

<p>Also, do I have to spread the training dataset from testing dataset or keep them together?</p>
",Related to library: Bugs
Cross Validation in Weka,"<p>I've always thought from what I read that cross validation is performed like this:</p>

<blockquote>
  <p>In k-fold cross-validation, the original sample is randomly
  partitioned into k subsamples. Of the k subsamples, a single subsample
  is retained as the validation data for testing the model, and the
  remaining k − 1 subsamples are used as training data. The
  cross-validation process is then repeated k times (the folds), with
  each of the k subsamples used exactly once as the validation data. The
  k results from the folds then can be averaged (or otherwise combined)
  to produce a single estimation</p>
</blockquote>

<p>So k models are built and the final one is the average of those.
In Weka guide is written that each model is always built using ALL the data set. So how does cross validation in Weka work ? Is the model built from all data and the ""cross-validation"" means that k fold are created then each fold is evaluated on it and the final output results is simply the averaged result from folds?</p>
",Prediction
Choose the right classification algorithm. Linear or non-linear?,"<p>I find this question a little tricky. Maybe someone knows an approach to answer this question. Imagine that you have a dataset(training data) which you don't know what it is about. Which features of training data would you look at in order to infer classification algorithm to classify this data? Can we say anything whether we should use a non-linear or linear classification algorithm?</p>

<p>By the way, I am using WEKA to analyze the data.</p>

<p>Any suggestions?
Thank you.</p>
",
